"lipid_class","scope_type","matched_rule_ids","selected_rule_id","priority","score","no_chain","ignore_sum_only","split","split_mode","exclude_first_chain","detect_fa_suffix","detect_fa_tail","drop_zero_chains","prefer_molecular_notation","notes","behavior_summary"
"Ac2PIM1","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"Ac2PIM2","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"Ac3PIM2","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"Ac4PIM2","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"ADGGA","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"AHexCer","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"ASG","literal","asg_drop_sterol","asg_drop_sterol","195","195072","False","True","auto","","True","True","True","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses. Extract trailing 'FA xx:y' notation outside parentheses."
"ASHexCer","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"ASM","literal","ceramide_force_drop_base","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"BA","literal","bile_acid","bile_acid","200","200084","True","False","","","False","False","False","False","False","","No acyl-chain metadata is extracted."
"BMP","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"BRSE","literal","steryl_ester","steryl_ester","190","190098","False","True","auto","","True","True","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"CAR","literal","acylcarnitine","acylcarnitine","110","110005","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"CASE","literal","steryl_ester","steryl_ester","190","190098","False","True","auto","","True","True","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"CE","literal","cholesteryl_ester","cholesteryl_ester","110","110004","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"Cer","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"CerP","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"CL","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"DEGSE","literal","steryl_ester","steryl_ester","190","190098","False","True","auto","","True","True","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"DG","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"DGCC","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"DGDG","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"DGGA","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"DGTS","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"DLCL","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"DMPE","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"DSMSE","literal","steryl_ester","steryl_ester","190","190098","False","True","auto","","True","True","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"EGSE","literal","steryl_ester","steryl_ester","190","190098","False","True","auto","","True","True","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"FA","literal","fatty_acid","fatty_acid","120","120004","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"GD1a","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"GD1b","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"GD2","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"GD3","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"GM1","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"GM3","literal","gm3_mixed_notation, ceramide_force_drop_base, sphingolipid_generic","gm3_mixed_notation","185","185060","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"GQ1b","literal","sphingolipid_generic","sphingolipid_generic","60","60136","False","True","/","literal","False","False","False","False","False","","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent."
"GT1b","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"HBMP","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"Hex2Cer","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"Hex3Cer","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"HexCer","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"LDGCC","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"LDGTS","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"LNAPE","literal","lnape","lnape","150","150031","False","False","auto","","False","True","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Extract FA-style chains from final parentheses."
"LPA","literal","phospholipid","phospholipid","90","90059","False","False","auto","","False","False","False","True","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Remove zero chains such as 0:0."
"LPC","literal","phospholipid","phospholipid","90","90059","False","False","auto","","False","False","False","True","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Remove zero chains such as 0:0."
"LPE","literal","phospholipid","phospholipid","90","90059","False","False","auto","","False","False","False","True","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Remove zero chains such as 0:0."
"LPE-N","literal","lnape","lnape","150","150031","False","False","auto","","False","True","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Extract FA-style chains from final parentheses."
"LPG","literal","phospholipid","phospholipid","90","90059","False","False","auto","","False","False","False","True","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Remove zero chains such as 0:0."
"LPI","literal","phospholipid","phospholipid","90","90059","False","False","auto","","False","False","False","True","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Remove zero chains such as 0:0."
"LPS","literal","phospholipid","phospholipid","90","90059","False","False","auto","","False","False","False","True","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Remove zero chains such as 0:0."
"LPS-N","literal","lnape","lnape","150","150031","False","False","auto","","False","True","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Extract FA-style chains from final parentheses."
"MG","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"MGDG","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"MGMG","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"MLCL","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"MMPE","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"NATau","literal","phospholipid","phospholipid","90","90059","False","False","auto","","False","False","False","True","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Remove zero chains such as 0:0."
"NGcGM3","literal","ngcgm3, sphingolipid_generic","ngcgm3","220","220088","True","False","","","False","False","False","False","False","Multiple regexes matched; the highest score rule is selected.","No acyl-chain metadata is extracted."
"OxFA","literal","oxidized_fatty_acid","oxidized_fatty_acid","130","130006","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"PA","literal","phospholipid","phospholipid","90","90059","False","False","auto","","False","False","False","True","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Remove zero chains such as 0:0."
"PC","literal","phospholipid","phospholipid","90","90059","False","False","auto","","False","False","False","True","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Remove zero chains such as 0:0."
"PE","literal","phospholipid","phospholipid","90","90059","False","False","auto","","False","False","False","True","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Remove zero chains such as 0:0."
"PE-Cer","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"PEtOH","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"PG","literal","phospholipid","phospholipid","90","90059","False","False","auto","","False","False","False","True","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Remove zero chains such as 0:0."
"PI","literal","phospholipid","phospholipid","90","90059","False","False","auto","","False","False","False","True","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Remove zero chains such as 0:0."
"PMeOH","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"PS","literal","phospholipid","phospholipid","90","90059","False","False","auto","","False","False","False","True","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Remove zero chains such as 0:0."
"PT","literal","phospholipid","phospholipid","90","90059","False","False","auto","","False","False","False","True","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Remove zero chains such as 0:0."
"SE","literal","steryl_ester","steryl_ester","190","190098","False","True","auto","","True","True","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"SHexCer","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"SISE","literal","steryl_ester","steryl_ester","190","190098","False","True","auto","","True","True","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"SL","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"SM","literal","ceramide_force_drop_base, sphingolipid_generic","ceramide_force_drop_base","180","180163","False","True","/","literal","True","True","False","False","False","Multiple regexes matched; the highest score rule is selected.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"SMGDG","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"SPB","literal","spb_no_chain","spb_no_chain","230","230085","True","False","","","False","False","False","False","False","","No acyl-chain metadata is extracted."
"SQDG","literal","glycerolipid","glycerolipid","70","70144","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"ST","literal","sterol_free","sterol_free","210","210084","True","False","","","False","False","False","False","False","","No acyl-chain metadata is extracted."
"STSE","literal","steryl_ester","steryl_ester","190","190098","False","True","auto","","True","True","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
"TG","literal","triglyceride","triglyceride","200","200039","False","True","auto","","False","True","False","True","False","","Split order: '/' -> '_' -> whitespace -> unsplit. Skip sum-only notation when molecular/sn evidence is absent. Extract FA-style chains from final parentheses. Remove zero chains such as 0:0."
"VAE","literal","vae","vae","105","105005","False","False","auto","","False","False","False","False","False","","Split order: '/' -> '_' -> whitespace -> unsplit."
"Cer_*","pattern_family","cer_subclass_force_drop_base","cer_subclass_force_drop_base","170","170063","False","True","/","literal","True","True","False","False","False","Regex family entry; applies to classes matching ^Cer_.+$.","Split delimiter: / (literal). Skip sum-only notation when molecular/sn evidence is absent. Drop the first chain when two or more chain tokens are present. Extract FA-style chains from final parentheses."
