"lipid_class","structural_category","reported_acyl_chain_metadata","excluded_backbone_or_nonacyl_moiety","accepted_notation","handling_of_sum_composition_only_names","special_handling_and_normalization","representative_interpretation","implemented_rule_id"
"HexCer","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"LDGCC","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"LDGTS","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"LNAPE","N-acyl lysophospholipid","The chain parsed from the main notation is reported, and FA suffixes in parentheses are additionally captured.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: LNAPE 18:1 (FA 20:4) -> reported chains 18:1 and 20:4.","lnape"
"LPA","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"LPC","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"LPE","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"LPE-N","N-acyl lysophospholipid","The chain parsed from the main notation is reported, and FA suffixes in parentheses are additionally captured.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: LNAPE 18:1 (FA 20:4) -> reported chains 18:1 and 20:4.","lnape"
"LPG","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"LPI","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"LPS","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"LPS-N","N-acyl lysophospholipid","The chain parsed from the main notation is reported, and FA suffixes in parentheses are additionally captured.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: LNAPE 18:1 (FA 20:4) -> reported chains 18:1 and 20:4.","lnape"
"MG","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"MGDG","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"MGMG","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"MLCL","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"MMPE","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"NATau","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"NGcGM3","Sphingolipid","No acyl-chain metadata are reported for this class.","Not applicable.","No chain notation is parsed.","Not applicable.","None.","Interpretation follows the class-specific rule listed in this table.","ngcgm3"
"OxFA","Single-chain lipid","The oxidized fatty acyl chain is reported directly, including oxygen annotations.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: OxFA 20:4;O2 -> reported chain 20:4;O2.","oxidized_fatty_acid"
"PA","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"PC","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"PE","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"PE-Cer","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"PEtOH","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"PG","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"PI","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"PMeOH","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"PS","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"PT","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"SE","Sterol-related lipid","The esterified fatty acyl chain is reported.","The first token is removed and interpreted as the sterol backbone.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: SE 27:1/18:2 -> reported chain 18:2 only.","steryl_ester"
"SHexCer","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"SISE","Sterol-related lipid","The esterified fatty acyl chain is reported.","The first token is removed and interpreted as the sterol backbone.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: SE 27:1/18:2 -> reported chain 18:2 only.","steryl_ester"
"SL","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"SM","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"SMGDG","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"SPB","Sphingolipid","No acyl-chain metadata are reported for this class.","Not applicable.","No chain notation is parsed.","Not applicable.","None.","Example: SPB -> no acyl-chain metadata reported.","spb_no_chain"
"SQDG","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"ST","Sterol-related lipid","No acyl-chain metadata are reported for this class.","Not applicable.","No chain notation is parsed.","Not applicable.","None.","Example: ST -> no acyl-chain metadata reported.","sterol_free"
"STSE","Sterol-related lipid","The esterified fatty acyl chain is reported.","The first token is removed and interpreted as the sterol backbone.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: SE 27:1/18:2 -> reported chain 18:2 only.","steryl_ester"
"TG","Neutral glycerolipid","All detectable acyl chains are reported as separate chain metadata entries.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; 0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: TG 16:0/18:1/18:2 -> reported chains 16:0, 18:1, and 18:2.","triglyceride"
"VAE","Sterol-related lipid","The single acyl-like chain token is reported directly.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Interpretation follows the class-specific rule listed in this table.","vae"
